CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
VANDALISM,10/24/2017 07:00:00 PM,17-916879,VANDALISM,,500 20TH ST,Oakland,CA,"500 20TH ST
Oakland, CA
(37.809581, -122.269628)"
VANDALISM,09/08/2017 07:00:00 PM,17-914153,VANDALISM,08X,500 27TH ST,Oakland,CA,"500 27TH ST
Oakland, CA
(37.816128, -122.267219)"
MOTOR VEHICLE THEFT,10/06/2017 11:27:00 AM,17-052428,VEHICLE THEFT - AUTO,22Y,3300 GEORGIA ST,Oakland,CA,"3300 GEORGIA ST
Oakland, CA
(37.794807, -122.20291)"
ASSAULT,09/09/2017 11:16:00 PM,17-047455,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,27Y,5900 HARMON AV,Oakland,CA,"5900 HARMON AV
Oakland, CA
(37.768042, -122.194877)"
ASSAULT,09/16/2017 04:37:00 PM,17-048647,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,35X,2400 96TH AV,Oakland,CA,"2400 96TH AV
Oakland, CA
(37.750884, -122.160601)"
MOTOR VEHICLE THEFT,11/22/2017 09:10:00 AM,17-061019,VEHICLE THEFT - AUTO,03X,800 WEBSTER ST ST,Oakland,CA,"800 WEBSTER ST ST
Oakland, CA
(37.799511, -122.271207)"
VANDALISM,11/16/2017 09:37:00 AM,17-059975,VANDALISM [UNDER $400],32X,11000 SAN LEANDRO ST,Oakland,CA,"11000 SAN LEANDRO ST
Oakland, CA
(37.732611, -122.171182)"
ASSAULT,09/04/2017 04:40:00 PM,17-046434,ADW WITH FORCE: POSSIBLE GBI,27Y,1400 SEMINARY AV,Oakland,CA,"1400 SEMINARY AV
Oakland, CA
(37.765111, -122.19952)"
THEFT/LARCENY,10/22/2017 06:30:00 PM,17-916800,THEFT,13Z,2200 ARROWHEAD DRIVE,Oakland,CA,"2200 ARROWHEAD DRIVE
Oakland, CA
(37.836134, -122.190307)"
THEFT/LARCENY,10/23/2017 07:10:00 PM,17-916807,BURGLARY-AUTO,08X,2600 TELEGRAPH AVE,Oakland,CA,"2600 TELEGRAPH AVE
Oakland, CA
(37.815778, -122.268012)"
MOTOR VEHICLE THEFT,09/02/2017 06:45:00 AM,17-913847,ATTEMPT VEHICLE THEFT-AUTO,22Y,3400 MAPLE AV,Oakland,CA,"3400 MAPLE AV
Oakland, CA
(37.795452, -122.206882)"
VANDALISM,08/30/2017 12:55:00 PM,17-913647,VANDALISM,04X,500 16TH ST,Oakland,CA,"500 16TH ST
Oakland, CA
(37.806119, -122.270459)"
ASSAULT,09/01/2017 02:20:00 PM,17-045874,BATTERY,14X,200 GRAND AV,Oakland,CA,"200 GRAND AV
Oakland, CA
(37.810775, -122.26147)"
ASSAULT,10/24/2017 11:40:00 AM,17-055821,THREAT CRIME:INT:TERRORIZE,21Y,3100 ASHBROOK CT,Oakland,CA,"3100 ASHBROOK CT
Oakland, CA
(37.786452, -122.222164)"
THEFT/LARCENY,09/30/2017 05:20:00 PM,17-915399,BURGLARY-AUTO,15X,3000 LAKESHORE AVE,Oakland,CA,"3000 LAKESHORE AVE
Oakland, CA
(37.809129, -122.247475)"
THEFT/LARCENY,11/04/2017 05:52:00 PM,17-917453,BURGLARY-AUTO,04X,400 22ND ST,Oakland,CA,"400 22ND ST
Oakland, CA
(37.81094, -122.267393)"
ROBBERY,11/21/2017 07:26:00 PM,17-060927,ROBBERY-FIREARM,20X,300 23RD AV,Oakland,CA,"300 23RD AV
Oakland, CA
(37.773198, -122.235897)"
VANDALISM,10/25/2017 03:30:00 PM,17-916863,VANDALISM,27X,5100 FOOTHILL BOULEVARD,Oakland,CA,"5100 FOOTHILL BOULEVARD
Oakland, CA
(37.772637, -122.205087)"
THEFT/LARCENY,10/20/2017 02:30:00 PM,17-916760,BURGLARY-AUTO,32Y,9800 BURR ST,Oakland,CA,"9800 BURR ST
Oakland, CA
(37.750766, -122.155656)"
ASSAULT,09/10/2017 03:54:00 PM,17-047546,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,23X,1800 ROSEDALE AV,Oakland,CA,"1800 ROSEDALE AV
Oakland, CA
(37.776224, -122.215605)"
